	Row Index	ADF Statistic	p-value	Critical Value (1%)	Critical Value (5%)	Critical Value (10%)	Stationarity
3	cg00343092	-4.521874844868163	0.0001794974054680722	-3.5087828609430614	-2.895783561573195	-2.5850381719848565	Stationary
8	cg00522231	-6.533649575001327	9.729322006427325e-09	-3.5078527246648834	-2.895382030636155	-2.584823877658872	Stationary
10	cg00593462	-4.60217884845149	0.0001279804455342338	-3.5194805351545413	-2.9003945086747343	-2.5874984279778395	Stationary
11	cg00658652	-3.1823713027344582	0.021028043871719946	-3.5097356063504983	-2.8961947486260944	-2.5852576124567475	Stationary
21	cg01511232	-5.564290005034341	1.5170643406194238e-06	-3.517113604831504	-2.8993754262546574	-2.5869547797501644	Stationary
25	cg01570885	-3.015520460152801	0.03347018674230222	-3.520713130074074	-2.9009249540740742	-2.5877813777777776	Stationary
27	cg01740766	-3.31004140618122	0.014435546661702407	-3.5194805351545413	-2.9003945086747343	-2.5874984279778395	Stationary
32	cg02071305	-4.380788869917868	0.0003209526012887783	-3.5159766913976376	-2.898885703483903	-2.5866935058484217	Stationary
33	cg02085953	-3.501104301279205	0.00795877851680002	-3.5117123057187376	-2.8970475206326833	-2.5857126912469153	Stationary
42	cg02821342	-3.526768737771614	0.00732564876174757	-3.5148692050781247	-2.8984085156250003	-2.58643890625	Stationary
49	cg03643998	-6.730629107209096	3.303023767027559e-09	-3.5137900174243235	-2.8979433868293945	-2.5861907285474777	Stationary
50	cg03670162	-3.6343413488279355	0.0051374336833805295	-3.517113604831504	-2.8993754262546574	-2.5869547797501644	Stationary
51	cg03746976	-3.198247814249408	0.02008632689894617	-3.5117123057187376	-2.8970475206326833	-2.5857126912469153	Stationary
52	cg03771840	-3.7439102042612227	0.0035362402960569185	-3.5137900174243235	-2.8979433868293945	-2.5861907285474777	Stationary
58	cg04126866	-4.284267334286582	0.0004729192420235831	-3.510711795769895	-2.8966159448223734	-2.5854823866213152	Stationary
59	cg04267101	-4.097979798128397	0.0009759982493629158	-3.510711795769895	-2.8966159448223734	-2.5854823866213152	Stationary
60	cg04424621	-3.2779348832691553	0.015894060877846086	-3.512738056978279	-2.8974898650628984	-2.585948732897085	Stationary
61	cg04474832	-4.8954463758769595	3.559314814725184e-05	-3.510711795769895	-2.8966159448223734	-2.5854823866213152	Stationary
64	cg04596060	-4.272684850891111	0.000495162792362742	-3.5087828609430614	-2.895783561573195	-2.5850381719848565	Stationary
71	cg05442902	-4.373197675185627	0.00033098590773517734	-3.510711795769895	-2.8966159448223734	-2.5854823866213152	Stationary
78	cg06144905	-3.3527359595220507	0.012679573294303673	-3.5194805351545413	-2.9003945086747343	-2.5874984279778395	Stationary
81	cg06462220	-4.950183045260577	2.7823448243918045e-05	-3.5117123057187376	-2.8970475206326833	-2.5857126912469153	Stationary
87	cg06738602	-2.918474373941337	0.04324147133550808	-3.5194805351545413	-2.9003945086747343	-2.5874984279778395	Stationary
89	cg06874016	-3.78497671654857	0.003064817607021014	-3.512738056978279	-2.8974898650628984	-2.585948732897085	Stationary
91	cg07082267	-4.1931021165792535	0.0006768409605007807	-3.510711795769895	-2.8966159448223734	-2.5854823866213152	Stationary
107	cg08234504	-2.862650985710271	0.04986675699818199	-3.5148692050781247	-2.8984085156250003	-2.58643890625	Stationary
109	cg08415592	-3.76141671409978	0.0033276815107011856	-3.5097356063504983	-2.8961947486260944	-2.5852576124567475	Stationary
112	cg08587542	-4.16226148087805	0.0007628166210183234	-3.5117123057187376	-2.8970475206326833	-2.5857126912469153	Stationary
115	cg08911208	-3.1604863946192525	0.02238886811187339	-3.5148692050781247	-2.8984085156250003	-2.58643890625	Stationary
121	cg09428349	-4.042481303759807	0.0012036946583191077	-3.518281134660583	-2.899878185191432	-2.5872229937594873	Stationary
124	cg09748749	-3.198099305913772	0.02009496280179679	-3.512738056978279	-2.8974898650628984	-2.585948732897085	Stationary
125	cg09809672	-4.786028593058422	5.783359461647449e-05	-3.5194805351545413	-2.9003945086747343	-2.5874984279778395	Stationary
127	cg10052840	-4.75205072136349	6.711497989826014e-05	-3.512738056978279	-2.8974898650628984	-2.585948732897085	Stationary
128	cg10192196	-3.7949947928750265	0.0029589419574668615	-3.5097356063504983	-2.8961947486260944	-2.5852576124567475	Stationary
130	cg10498798	-5.059444595647975	1.6904698389695782e-05	-3.5137900174243235	-2.8979433868293945	-2.5861907285474777	Stationary
137	cg10699171	-4.902407129149878	3.450005854386471e-05	-3.5117123057187376	-2.8970475206326833	-2.5857126912469153	Stationary
139	cg10825530	-3.2909226770889735	0.01528913915460159	-3.5097356063504983	-2.8961947486260944	-2.5852576124567475	Stationary
143	cg10959651	-3.5315796438572815	0.007212149355488669	-3.5097356063504983	-2.8961947486260944	-2.5852576124567475	Stationary
149	cg12082609	-3.7940378787959568	0.0029689077392723038	-3.5117123057187376	-2.8970475206326833	-2.5857126912469153	Stationary
159	cg12776156	-4.020606885363555	0.0013063693953268127	-3.510711795769895	-2.8966159448223734	-2.5854823866213152	Stationary
160	cg12869659	-3.6200741522547286	0.005388648658912318	-3.512738056978279	-2.8974898650628984	-2.585948732897085	Stationary
166	cg14175438	-3.6380393708271828	0.005074081789952854	-3.5117123057187376	-2.8970475206326833	-2.5857126912469153	Stationary
167	cg14314729	-3.2217896954463137	0.018757547501129374	-3.518281134660583	-2.899878185191432	-2.5872229937594873	Stationary
173	cg14614643	-3.066399542470327	0.029141782853475306	-3.510711795769895	-2.8966159448223734	-2.5854823866213152	Stationary
176	cg15188939	-5.419955199370728	3.0751919733030563e-06	-3.5078527246648834	-2.895382030636155	-2.584823877658872	Stationary
179	cg15405572	-3.7182987723097254	0.0038630050980147683	-3.5087828609430614	-2.895783561573195	-2.5850381719848565	Stationary
183	cg16008966	-3.9428072547933604	0.001741447727739851	-3.5137900174243235	-2.8979433868293945	-2.5861907285474777	Stationary
194	cg17274064	-4.0345535463441315	0.0012400033686434204	-3.5137900174243235	-2.8979433868293945	-2.5861907285474777	Stationary
202	cg18442362	-5.043952927082803	1.8151919506016233e-05	-3.5117123057187376	-2.8970475206326833	-2.5857126912469153	Stationary
206	cg18582260	-3.355228632640176	0.012583165170011656	-3.5097356063504983	-2.8961947486260944	-2.5852576124567475	Stationary
210	cg18771300	-4.813572816573021	5.1226069544560696e-05	-3.512738056978279	-2.8974898650628984	-2.585948732897085	Stationary
212	cg19015086	-2.991049511607757	0.03573875985367646	-3.5159766913976376	-2.898885703483903	-2.5866935058484217	Stationary
214	cg19283806	-4.032321916728602	0.0012504069339919505	-3.510711795769895	-2.8966159448223734	-2.5854823866213152	Stationary
219	cg19722847	-5.806184512681822	4.510890631113514e-07	-3.5117123057187376	-2.8970475206326833	-2.5857126912469153	Stationary
223	cg20063906	-3.8988555385142933	0.002043285875415964	-3.5097356063504983	-2.8961947486260944	-2.5852576124567475	Stationary
227	cg20669012	-4.772047162495766	6.14930817403091e-05	-3.5137900174243235	-2.8979433868293945	-2.5861907285474777	Stationary
241	cg21878650	-4.611169901194241	0.00012318281868326086	-3.510711795769895	-2.8966159448223734	-2.5854823866213152	Stationary
248	cg22372849	-4.1203392274206685	0.0008962067003496968	-3.5117123057187376	-2.8970475206326833	-2.5857126912469153	Stationary
253	cg22809047	-6.2581070737737905	4.289180551507764e-08	-3.5078527246648834	-2.895382030636155	-2.584823877658872	Stationary
255	cg22843803	-4.212734367365365	0.0006269482504310398	-3.5087828609430614	-2.895783561573195	-2.5850381719848565	Stationary
259	cg22982767	-7.2524601978360055	1.7654911247083134e-10	-3.517113604831504	-2.8993754262546574	-2.5869547797501644	Stationary
